iter	MultiClass
0	1.498313535
1	1.302295513
2	1.162193771
3	1.048903958
4	0.9547252718
5	0.8779360038
6	0.8118790069
7	0.7541867925
8	0.7038914532
9	0.6616855847
10	0.6225718262
11	0.5896971445
12	0.5579723806
13	0.5299983047
14	0.5044079103
15	0.4814376056
16	0.4595914339
17	0.4408973692
18	0.4233646644
19	0.4069476684
20	0.3916618934
21	0.3781827289
22	0.3660188662
23	0.3544913404
24	0.3432800571
25	0.3337414573
26	0.324667829
27	0.316176497
28	0.307809853
29	0.2999841455
30	0.2928365572
31	0.2857426223
32	0.280073865
33	0.2748923487
34	0.269375594
35	0.2645100007
36	0.2599043474
37	0.2556247469
38	0.2509831744
39	0.2465948159
40	0.2427254587
41	0.2381922284
42	0.2346195976
43	0.2309438889
44	0.2283560467
45	0.2256600502
46	0.223128377
47	0.2203075969
48	0.2185301001
49	0.2155608547
50	0.2134358347
51	0.2117128677
52	0.2093701892
53	0.2076631256
54	0.2052989439
55	0.2032863087
56	0.2010511169
57	0.1996502556
58	0.19825873
59	0.196760596
60	0.1953763954
61	0.194134416
62	0.1928535872
63	0.190969845
64	0.1897557051
65	0.1885276788
66	0.1871115824
67	0.1860340528
68	0.1842866764
69	0.1830532309
70	0.1812416382
71	0.1802151957
72	0.1792246069
73	0.1782192187
74	0.1771157489
75	0.1759858646
76	0.1750722604
77	0.1738704894
78	0.172965551
79	0.17201815
80	0.1711792059
81	0.170244633
82	0.1689725938
83	0.1678406472
84	0.1669496984
85	0.1662078639
86	0.1652133145
87	0.1647759706
88	0.1636397259
89	0.1630696849
90	0.1621378651
91	0.1613720726
92	0.1607089115
93	0.1595452125
94	0.1586745975
95	0.1579354303
96	0.1570771789
97	0.1565108295
98	0.15567035
99	0.1552152687
100	0.1541546701
101	0.1535643576
102	0.1530150374
103	0.1526193966
104	0.1518597199
105	0.1513146082
106	0.150803329
107	0.1504808857
108	0.1499358909
109	0.1492932138
110	0.148768717
111	0.1483306041
112	0.1480563846
113	0.1475731366
114	0.1473127536
115	0.1466953387
116	0.1462990281
117	0.1456693655
118	0.1451877488
119	0.1447467301
120	0.1442686438
121	0.1438803106
122	0.1432419173
123	0.1424518102
124	0.1419209504
125	0.1413427019
126	0.1408235289
127	0.1404272197
128	0.1399539727
129	0.1394347101
130	0.1388792079
131	0.1381512989
132	0.1376142799
133	0.1371115254
134	0.136537845
135	0.1360382173
136	0.1356871914
137	0.1353770372
138	0.1347624712
139	0.1340206096
140	0.1336579519
141	0.1330747873
142	0.1326321257
143	0.1324873723
144	0.1319497711
145	0.1313397576
146	0.1308490263
147	0.1306035926
148	0.1303561011
149	0.1301317214
150	0.1296110734
151	0.1291804528
152	0.1289224606
153	0.1286381463
154	0.1283279247
155	0.1281560998
156	0.1279473554
157	0.1274647027
158	0.1271575221
159	0.1269950749
160	0.1267448897
161	0.1264583915
162	0.1262284432
163	0.126066871
164	0.125680929
165	0.1253990394
166	0.1250432288
167	0.1248080852
168	0.1245159644
169	0.1241998695
170	0.1238504803
171	0.123674119
172	0.1233583331
173	0.1230000027
174	0.1226170302
175	0.1223040066
176	0.1220030346
177	0.1217982448
178	0.1213998751
179	0.1211378321
180	0.1208626531
181	0.1204796955
182	0.1202940037
183	0.1200477537
184	0.1198853406
185	0.119394631
186	0.1190855942
187	0.1187858503
188	0.1185426586
189	0.1182064084
190	0.1181246934
191	0.1178739476
192	0.117603708
193	0.1172731669
194	0.1169976718
195	0.1168318188
196	0.1165283532
197	0.1162941869
198	0.1159334373
199	0.1155610495
200	0.115296645
201	0.1151281027
202	0.1149632664
203	0.1148416516
204	0.114697508
205	0.1144776493
206	0.1141400753
207	0.1139101498
208	0.1136448661
209	0.113402762
210	0.1132396262
211	0.1129811748
212	0.1126894299
213	0.1124408898
214	0.112055954
215	0.1118127477
216	0.1115797162
217	0.1113998711
218	0.1111703099
219	0.1107917296
220	0.1105237793
221	0.1103527507
222	0.1101610766
223	0.1098582506
224	0.1097134398
225	0.1095454718
226	0.1092919398
227	0.1091035602
228	0.1089691507
229	0.1087168541
230	0.1083792607
231	0.1080585775
232	0.1078849923
233	0.1076846471
234	0.1075101017
235	0.1072288579
236	0.1070228651
237	0.1068697301
238	0.1064941437
239	0.1063962559
240	0.1062898444
241	0.1061114017
242	0.1059024092
243	0.1055294244
244	0.1053861313
245	0.105259185
246	0.1049738864
247	0.1046558527
248	0.1045063508
249	0.1040940109
250	0.103819001
251	0.1036195698
252	0.1033238845
253	0.1032085728
254	0.102948251
255	0.1028226242
256	0.1026776322
257	0.1023700725
258	0.1020715903
259	0.1019819769
260	0.1016969097
261	0.1015208522
262	0.1013836756
263	0.1011280531
264	0.1008783462
265	0.1007054377
266	0.1006072556
267	0.1004906109
268	0.1002707088
269	0.09998595904
270	0.09989440455
271	0.09968825775
272	0.09944445143
273	0.09920667887
274	0.09902169088
275	0.09883386189
276	0.0986295517
277	0.09851932878
278	0.09834036499
279	0.09803666541
280	0.09776350588
281	0.09755312115
282	0.09735052011
283	0.09708972233
284	0.09697672266
285	0.09690281979
286	0.09666819242
287	0.09642982339
288	0.09619055466
289	0.09611088451
290	0.09594976637
291	0.09576156174
292	0.0955616587
293	0.0954376692
294	0.09526893791
295	0.09509568148
296	0.09476249658
297	0.09468259564
298	0.09452253825
299	0.09434213539
